DAQ Chan	ADC Name	ADC Chan	Chan Name
167	grifadc149	2	TIG07WP03x
168	grifadc149	3	TIG07WP04x
169	grifadc149	4	TIG07WP05x
170	grifadc149	5	TIG07WP06x
171	grifadc149	6	TIG07WP07x
172	grifadc149	7	TIG07WP08x
173	grifadc149	8	TIG07WN00B
174	grifadc149	9	TIG07WN00A
175	grifadc149	10	TIS07WN01x
176	grifadc149	11	TIS07WN02x
177	grifadc149	12	TIS07WN03x
178	grifadc149	13	TIS07WN04x
179	grifadc149	14	TIS07WN05x
180	grifadc124	0	TIG08BP01x
181	grifadc124	1	TIG08BP02x
182	grifadc124	2	TIG08BP03x
183	grifadc124	3	TIG08BP04x
184	grifadc124	4	TIG08BP05x
185	grifadc124	5	TIG08BP06x
186	grifadc124	6	TIG08BP07x
187	grifadc124	7	TIG08BP08x
188	grifadc124	8	TIG08BN00B
189	grifadc124	9	TIG08BN00A
190	grifadc124	10	TIS08BN01x
191	grifadc124	11	TIS08BN02x
192	grifadc124	12	TIS08BN03x
193	grifadc124	13	TIS08BN04x
194	grifadc124	14	TIS08BN05x
195	grifadc125	0	TIG08GP01x
196	grifadc125	1	TIG08GP02x
197	grifadc125	2	TIG08GP03x
198	grifadc125	3	TIG08GP04x
199	grifadc125	4	TIG08GP05x
200	grifadc125	5	TIG08GP06x
201	grifadc125	6	TIG08GP07x
202	grifadc125	7	TIG08GP08x
203	grifadc125	8	TIG08GN00B
204	grifadc125	9	TIG08GN00A
205	grifadc125	10	TIS08GN01x
206	grifadc125	11	TIS08GN02x
207	grifadc125	12	TIS08GN03x
208	grifadc125	13	TIS08GN04x
209	grifadc125	14	TIS08GN05x
210	grifadc126	0	TIG08RP01x
211	grifadc126	1	TIG08RP02x
212	grifadc126	2	TIG08RP03x
213	grifadc126	3	TIG08RP04x
214	grifadc126	4	TIG08RP05x
215	grifadc126	5	TIG08RP06x
216	grifadc126	6	TIG08RP07x
217	grifadc126	7	TIG08RP08x
218	grifadc126	8	TIG08RN00B
219	grifadc126	9	TIG08RN00A
220	grifadc126	10	TIS08RN01x
221	grifadc126	11	TIS08RN02x
222	grifadc126	12	TIS08RN03x
223	grifadc126	13	TIS08RN04x
224	grifadc126	14	TIS08RN05x
225	grifadc123	0	TIG08WP01x
226	grifadc123	1	TIG08WP02x
227	grifadc123	2	TIG08WP03x
228	grifadc123	3	TIG08WP04x
229	grifadc123	4	TIG08WP05x
230	grifadc123	5	TIG08WP06x
231	grifadc123	6	TIG08WP07x
232	grifadc123	7	TIG08WP08x
233	grifadc123	8	TIG08WN00B
234	grifadc123	9	TIG08WN00A
235	grifadc123	10	TIS08WN01x
236	grifadc123	11	TIS08WN02x
237	grifadc123	12	TIS08WN03x
238	grifadc123	13	TIS08WN04x
239	grifadc123	14	TIS08WN05x
240	grifadc150	0	TIG09BP01x
241	grifadc150	1	TIG09BP02x
242	grifadc150	2	TIG09BP03x
243	grifadc150	3	TIG09BP04x
244	grifadc150	4	TIG09BP05x
245	grifadc150	5	TIG09BP06x
246	grifadc150	6	TIG09BP07x
247	grifadc150	7	TIG09BP08x
248	grifadc150	8	TIG09BN00B
249	grifadc150	9	TIG09BN00A
250	grifadc150	10	TIS09BN01x
251	grifadc150	11	TIS09BN02x
252	grifadc150	12	TIS09BN03x
253	grifadc150	13	TIS09BN04x
254	grifadc150	14	TIS09BN05x
255	grifadc151	0	TIG09GP01x
256	grifadc151	1	TIG09GP02x
257	grifadc151	2	TIG09GP03x
258	grifadc151	3	TIG09GP04x
259	grifadc151	4	TIG09GP05x
260	grifadc151	5	TIG09GP06x
261	grifadc151	6	TIG09GP07x
262	grifadc151	7	TIG09GP08x
263	grifadc151	8	TIG09GN00B
264	grifadc151	9	TIG09GN00A
265	grifadc151	10	TIS09GN01x
266	grifadc151	11	TIS09GN02x
267	grifadc151	12	TIS09GN03x
268	grifadc151	13	TIS09GN04x
269	grifadc151	14	TIS09GN05x
270	grifadc152	0	TIG09RP01x
271	grifadc152	1	TIG09RP02x
272	grifadc152	2	TIG09RP03x
273	grifadc152	3	TIG09RP04x
274	grifadc152	4	TIG09RP05x
275	grifadc152	5	TIG09RP06x
276	grifadc152	6	TIG09RP07x
277	grifadc152	7	TIG09RP08x
278	grifadc152	8	TIG09RN00B
279	grifadc152	9	TIG09RN00A
280	grifadc152	10	TIS09RN01x
281	grifadc152	11	TIS09RN02x
282	grifadc152	12	TIS09RN03x
283	grifadc152	13	TIS09RN04x
284	grifadc152	14	TIS09RN05x
285	grifadc153	0	TIG09WP01x
286	grifadc153	1	TIG09WP02x
287	grifadc153	2	TIG09WP03x
288	grifadc153	3	TIG09WP04x
289	grifadc153	4	TIG09WP05x
290	grifadc153	5	TIG09WP06x
291	grifadc153	6	TIG09WP07x
292	grifadc153	7	TIG09WP08x
293	grifadc153	8	TIG09WN00B
294	grifadc153	9	TIG09WN00A
295	grifadc153	10	TIS09WN01x
296	grifadc153	11	TIS09WN02x
297	grifadc153	12	TIS09WN03x
298	grifadc153	13	TIS09WN04x
299	grifadc153	14	TIS09WN05x
300	null	0	TIG10BP01x
301	null	1	TIG10BP02x
302	null	2	TIG10BP03x
303	null	3	TIG10BP04x
304	null	4	TIG10BP05x
305	null	5	TIG10BP06x
306	null	6	TIG10BP07x
307	null	7	TIG10BP08x
308	null	8	TIG10BN00B
309	null	9	TIG10BN00A
310	null	10	TIS10BN01x
311	null	11	TIS10BN02x
312	null	12	TIS10BN03x
313	null	13	TIS10BN04x
314	null	14	TIS10BN05x
315	grifadc137	0	TIG10GP01x
316	grifadc137	1	TIG10GP02x
317	grifadc137	2	TIG10GP03x
318	grifadc137	3	TIG10GP04x
319	grifadc137	4	TIG10GP05x
320	grifadc137	5	TIG10GP06x
321	grifadc137	6	TIG10GP07x
322	grifadc137	7	TIG10GP08x
323	grifadc137	8	TIG10GN00B
324	grifadc137	9	TIG10GN00A
325	grifadc137	10	TIS10GN01x
326	grifadc137	11	TIS10GN02x
327	grifadc137	12	TIS10GN03x
328	grifadc137	13	TIS10GN04x
329	grifadc137	14	TIS10GN05x
330	grifadc138	0	TIG10RP01x
331	grifadc138	1	TIG10RP02x
332	grifadc138	2	TIG10RP03x
333	grifadc138	3	TIG10RP04x
334	grifadc138	4	TIG10RP05x
335	grifadc138	5	TIG10RP06x
336	grifadc138	6	TIG10RP07x
